sira;tistihdam;maas;iistihdam;icsaati;sbu;netsatis;mmaliyeti;katmadeger
5132;11,4;37,6;10;17,7;28,8;137;77,7;56,2
5133;11;36,2;9,6;17,4;28,6;142,8;77,4;45,4
5134;10,7;37,2;9,8;17,2;29,1;147,3;82,3;56,6
5135;11,6;41,6;10,6;18,8;32,7;160,2;88,8;59,7
5136;11,2;42,4;9,9;17,7;32,9;147,1;79,1;66,6
5137;11,5;44,5;10;17,6;33,8;162;91,4;72,6
5138;12,9;53,1;11,4;20,8;40,4;181,4;98,8;83,9
5139;13,2;56,1;11,5;21,5;41,9;193,2;104,3;90
5140;13;58,4;11,3;20,2;43,3;202,4;106,7;95,6
5141;13,1;61,4;11,4;19,9;45,4;220,4;115,6;108
5142;14;65,8;12,1;21,2;47,3;240,6;127,4;111,5
5143;12,6;67,8;11,1;19,2;50,8;245,6;120,3;129,5
5144;11,7;67,3;10,1;17,8;48,8;232,7;114,6;119
5145;12,2;68;10,6;18,9;50;221,8;112,7;112,1
5146;11,9;72,3;10,4;18,5;52,7;234,4;123;114,2
5147;13,7;86,7;12;21,1;64,3;306,8;158;154,3
5148;12,3;85,6;10,5;18,4;61,1;291,5;139,7;152
5149;13,2;99,3;11,1;19,9;69,4;332,4;165,1;169,5
5150;13,3;103,5;11,3;19,7;74,9;346,2;170,9;182,3
5151;14,1;116,2;12,4;21;87,1;381,7;182,9;205,2
5152;15,1;136,2;12,3;21,6;95,7;442,2;211,3;237,9
5153;16;153,4;13,4;23,3;110,1;499;238,8;266,5
5154;15,5;164;13,1;23,4;118,4;532,9;236,6;303,5
5155;13,9;155,8;11,7;20,7;111,2;506,4;232,9;275,2
5156;14,4;163,7;11,6;21,2;111,7;504,3;224,8;280,8
5157;13,3;160,4;11,2;20,5;115,9;572,2;263,7;328,3
5158;12,5;155,5;10,7;19,4;115,5;572,9;258,1;320,7
5159;12,4;162,5;10,7;19,8;120,5;590,3;258,8;333,3
5160;14,1;190,6;11,7;20,9;134,6;664,7;295,6;377,4
5161;14,5;201,2;12;21,2;138,2;722,7;309,9;415,5
5162;15,9;226,7;13,5;24;160,6;777;339,3;449,4
5163;16,7;233,7;14,2;25;164,2;799,3;339,1;473,1
5164;16,9;244,1;14,4;26,1;173,4;803,1;343,6;452,7
5165;15,5;246,7;12,9;22,9;173,8;869,5;383,7;494,1
5166;15,8;258,1;13;22,5;184,7;1005;462,9;552
5167;15,3;260,8;12,7;23,3;182,4;1066;486,5;595,5
5168;17;289,3;13,9;25,3;199;1182,1;557,8;635,4
5169;15,9;287;13,3;25,2;198,7;1223,1;586,9;657,8
5170;13,6;265,8;10,5;18,6;152;993,2;454,1;573
5171;12,9;237;10,2;17,1;149,5;950,2;448,2;601,3
5172;13,2;265,5;10,8;18,1;158,8;898,5;409,5;493,7
5173;13;266,1;10,6;18;162,1;941;414,9;531
5174;13,4;280,2;10,7;18,2;166,5;1022,4;422,2;613,6
5175;14,3;312;10,9;20,8;186,2;1113,8;451,6;662,1
5176;13,6;313,1;10;18,9;186,6;1104,4;408,5;709,3
5177;11,7;282,2;8,3;16,2;159,2;1130,3;463,6;680,3
5178;11,3;282,9;8;15,3;159,9;1151,6;478;661,9
5179;12,8;328,3;8,9;17,5;179,7;1357,4;577,8;797,2
5180;10,4;259,1;7,7;14,4;154,8;1191,1;525,7;661,6
5181;9,7;255,1;7,1;13,2;150,3;1201,8;539,6;679,2
5182;7,6;205,4;5,8;10,5;120,4;796,4;331,5;445,8
5183;6,4;188,5;5;8,8;108;785,7;318,4;472,1
5184;6;189,6;4,8;9;112,7;772,8;310,1;480,4
5185;35,5;123,4;30,8;55,9;96,4;361;159,9;200,4
5186;40,8;133,1;36,1;64,6;105,8;389,2;175,1;220,3
5187;38,4;126,3;33,6;61;99,6;379,6;164,2;215,6
5188;36,1;127,2;31,2;56,5;94,8;367,4;160,5;208
5189;36;128,7;31,2;56,4;97,4;378,2;168;211,6
5190;30,8;116,1;26,8;48,3;91,7;334,3;150,1;184,8
5191;29,4;112;25,1;46,4;88,5;325,6;148,9;179,4
5192;24,2;97,9;21,2;38,5;75,8;273,8;132,6;139,1
5193;22,3;90,9;19,9;36,1;69,2;263,6;130;133,6
5194;23,7;101,7;20,9;37,1;77,7;306,9;141,4;164,2
5195;23,2;101,2;20,5;37;78,4;310,9;146,3;165,5
5196;22;101,6;19,7;36,2;79,9;354,8;158,6;198
5197;16;72;14;25,7;54;233,7;109,6;122,9
5198;14,8;68,9;12,7;24;50,8;221,9;98,6;121,7
5199;14,5;72,6;12,7;22,8;55,7;229,1;99,7;133,4
5200;15;75,1;13,1;23,1;57,2;253,7;108,7;146,9
5201;13,3;81,2;11,8;22,7;64;286,6;152,6;128,1
5202;15,4;99,3;14;25,7;79,2;318,3;158,1;158,1
5203;14,6;97,6;13;23,7;76,2;345,9;183;148,9
5204;15,1;105,3;13,3;23,8;79;359,9;179,3;185,5
5205;16,6;124,6;14,6;27;93,1;419,2;211,8;212,4
5206;17,3;131,3;15,3;27,3;96,4;455,9;217,8;240,3
5207;20;162,2;17,6;32,3;120,4;613,8;287,8;331,2
5208;20;175;17,7;31;126,4;634,7;299,2;348,1
5209;15,7;156,7;14;24,4;117,6;522,3;235,9;285,3
5210;15,4;158,4;13,9;24,4;118,5;529,3;238,8;298,9
5211;15,5;166,7;13,7;24,8;124,2;611;290;303,6
5212;14,2;166,7;12,2;21;119,4;595;291,3;297,4
5213;14,1;165,1;11,9;21;112,7;604,1;284,5;319,4
5214;17,2;204,4;14,6;26,5;148,4;662,7;294,6;368
5215;16,4;208,8;14;24,3;148,5;671,4;297,7;377,5
5216;16;210,4;13,8;24,3;148,8;722,4;310;418,9
5217;16,5;227,3;14,4;25,4;160,8;736,6;316,8;424,3
5218;15,9;228,2;13,6;26;157,3;800,5;347;455,3
5219;18,8;281,4;15,6;29,6;209,7;978,4;436,3;573,5
5220;19,7;312;16,6;32,2;237,9;1054,6;465,2;597,4
5221;17,6;296,6;14,2;27,3;213,5;993,4;418,9;574,8
5222;18;314,9;14,8;26,8;226,1;1039,5;372,4;674,2
5223;17,1;306,8;14,3;26;227,8;976,7;363,5;599,2
5224;17,2;303,5;14,1;25,5;214,4;980,7;404,7;570,3
5225;16,8;304,9;13,7;25,5;219,7;1038,1;383,3;652,7
5226;16,7;318,3;14,1;25,9;224,9;1007;375,5;636,6
5227;16,3;315,2;13,7;24,8;219,4;1017,6;403;613,6
5228;14,9;293,9;12,3;22,7;199,8;991,3;414,3;582,4
5229;8,9;192,5;7,3;12,9;127,2;718,7;306,9;426,6
5230;8,4;194,2;6,2;11,4;113,2;685,6;293,7;404,2
5231;7,4;172,6;5,4;10;97,6;602,9;267,3;336,2
5232;6,8;173,6;4,9;9,1;89,7;628,2;283,2;363,1
5233;5,8;150,2;4,4;8;89,1;476,6;215,8;257,9
5234;4,5;117,5;3,6;6;75,2;359,3;162,1;196,6
5235;3,9;106,8;3;5,9;60,4;320,3;149,2;172,5
5236;3,4;95,5;2,7;4,9;56,3;290,2;123,9;161
5237;3,1;87;2,4;4,5;51,3;336,9;136,1;205,9
5238;2,8;86,9;2,2;4,3;49,5;357;148,1;214,6
5239;20,1;48,9;18,1;31,1;39,9;172,9;92,6;79,9
5240;22,6;57,8;19,7;36;48,8;201,2;108,4;94,7
5241;22,3;56,7;19,1;34,7;47,2;193,2;105,4;87,7
5242;22,9;60,4;19,9;35,3;49,9;220,4;121;101,8
5243;21,5;58,4;18,5;34;48,2;218,4;116,3;103
5244;20,5;61,1;18,8;33,5;51;230,1;128,9;100,6
5245;19,5;61,7;17,9;32,4;51,7;239,6;129,5;98,9
5246;22,3;71;20,2;37,7;58,2;266,2;145,2;124,6
5247;23,3;78,5;20,9;39,3;63,7;295,5;168,1;130,8
5248;20,3;71,1;18,6;34,4;59,7;263,3;144,1;122,8
5249;20,8;78,7;19,1;35;66,5;285,5;154,7;133,1
5250;21,3;85,5;19,5;35,3;72,1;317,2;170,7;147
5251;20;80,9;18,1;32,4;67,5;285,9;145,7;140,3
5252;16,9;72,3;15,1;27,2;59,4;261,9;132,9;126,1
5253;16,8;78,4;15,2;27,8;64,5;297;154,6;143,3
5254;16,9;80;15,1;27,5;65;333,4;176,4;160,1
5255;19,3;101,9;17,4;31,4;81,7;458,1;254,1;208
5256;14,8;86,6;13,4;22,1;67,3;376,1;215,9;160
5257;16,1;97,6;14,2;24,8;76,7;419,2;243,3;185,6
5258;16,4;102,9;14,6;26,2;81,8;490,4;265;228,5
5259;17,2;116,9;15,7;28,2;95,4;523,2;289,4;243,3
5260;17,5;114,9;15,9;27,4;94;518,2;282;243,4
5261;15,7;102,9;14;22,9;80,2;461,4;258,5;200,3
5262;14,3;107,5;12,8;21,1;82,2;461,3;251,2;205,6
5263;10,7;87,8;9,4;14,8;68,5;386;203,3;177,2
5264;10,4;93,1;9,1;14;71,8;397,3;203;195,8
5265;10,8;101,5;9,5;16,2;78,1;450,6;239,5;215,6
5266;10,1;90,8;9,1;15,4;72,2;438,9;238,1;203,7
5267;9,2;82;8,3;13,6;65;393,4;217,2;164
5268;7,9;81,5;7;12,2;63,5;365,6;193,1;172,8
5269;7,8;79;6,9;11,5;60,7;376,7;202,2;173
5270;7,2;75,4;6,2;10,7;55;346,6;182,4;170,9
5271;8;106,4;6,7;11,9;72,9;495,6;242,5;271,6
5272;7;105,3;5,7;10,7;70;465,5;244,8;223,7
5273;6,7;94,1;5,6;10,4;64,8;415,6;196,6;214
5274;7;96,7;6,2;10,5;72,8;463,1;240,2;235,8
5275;6,7;94;5,8;10,6;69,6;536,2;253,1;292,6
5276;6,8;116,9;5,9;10,4;90,2;521,8;227,7;290,7
5277;5,7;112,5;4,8;9,8;89,8;549;254,6;289,4
5278;6,4;119,7;5,3;9,8;79,3;672,6;335,6;337,9
5279;6,2;116,3;5,2;10,9;78,3;726;321,7;408,8
5280;5,4;101,9;4,4;9,2;70,6;470;273,3;198,4
5281;5,1;101,1;4,1;8,4;70,2;431,5;263,2;171,5
5282;4,7;95,9;3,8;7,5;63,4;433,4;257,5;172,3
5283;3;67;2,4;4,3;41,8;290,5;196,8;86,3
5284;2,8;62,9;2,1;3,8;36,6;269,4;173,9;87,3
5285;2,4;51,9;1,8;3,3;29,4;230,1;145,7;77,4
5286;2,2;48,5;1,6;3;25;232,7;141,4;89,1
5287;1,8;38,9;1,4;2,6;23,1;171,1;98,3;67,3
5288;1,4;28,2;1,2;2,3;21,1;125;66,9;54,6
5289;1,2;25,6;0,9;1,8;14,5;111,4;61,6;47,9
5290;1,1;22,9;0,8;1,6;13,5;100,9;51,1;44,7
5291;1;20,9;0,8;1,4;12,3;117,2;56,2;57,2
5292;0,9;20,8;0,7;1,3;11,9;124,2;61,1;59,6
5293;7,7;26,8;6,2;10,8;17,5;102,4;53,2;48,9
5294;7,9;28;6,4;11,1;17,4;111,2;62;48,9
5295;8,4;29,3;6,8;11,7;18,9;113,5;61,1;53,3
5296;8,3;29,3;6,7;11,5;18,9;114,1;64;50
5297;9,2;33,4;7,5;12,3;20,9;129,7;69,4;60,5
5298;8,4;30,9;6,9;12;20,6;121,3;62,7;58,1
5299;8,8;33,3;7,1;11,4;20,9;125,7;67,5;56,8
5300;7,6;33,5;6,3;12,3;22,1;150,4;89,3;63,2
5301;7,6;35,2;6,4;12;22,4;157,7;94,1;64,9
5302;7,8;37,3;6,6;11,3;23,5;144,7;75,6;69,4
5303;7,7;38,6;6,4;10,8;23,6;141,6;73,2;71,6
5304;8,9;48,6;7,1;12,3;27,9;186,5;86,1;104,5
5305;8,8;57,1;6,9;12,4;30,1;205;100,4;106
5306;8,5;60,2;6,4;11,4;31,1;225,3;107,9;121,2
5307;11,1;70;8,8;15,5;38,9;294,9;154,1;143,4
5308;11,2;72,3;8,8;15,3;40,5;281,4;143,7;139,2
5309;9,6;55,8;8,4;14,1;35,1;180,8;80,4;106
5310;5,7;47;4,7;7,5;29,3;151,6;69,1;84
5311;5,1;46,5;4,3;7,7;30,5;157,3;75,3;90,9
5312;6,3;57,5;5,1;8,7;33,4;223,8;108,9;117,5
5313;6,8;62;5,6;9,2;34,5;270,5;130,1;139,7
5314;7;69,6;5,4;9,3;39,7;266,8;127,4;141,5
5315;6,8;75;5,5;9,2;44,6;288,4;135,6;153,9
5316;6,5;79,2;5,3;9,1;48;298,7;131,1;168,9
5317;6,7;82,2;5,3;9;50,2;335;149,2;184,5
5318;7,1;110,4;5,7;9,4;72,8;355,5;134,5;217,1
5319;6,6;86,9;5,2;9;51,7;367,1;174,2;187,1
5320;5,9;80,4;4,8;8,2;47,9;341,9;161,3;174,8
5321;5,9;79,9;4,8;8,2;49,9;341,5;162,4;179,6
5322;7,4;117;6,2;11;76,8;475,6;223,6;251,4
5323;7,5;123;6,2;11;78,7;499,9;241,6;258
5324;8;124,6;6,6;10,6;74,6;533,9;249,3;285,2
5325;7,4;120,1;6;9,5;69,2;499,9;231,2;268,5
5326;6,4;124,7;5,1;9;72,2;532;251,8;287,5
5327;7,5;130,2;5,8;10,4;76,9;618,2;301,1;319,1
5328;6,3;126;4,8;8,4;70,8;619,3;304;311,5
5329;6,2;119,4;4,6;8,1;74,6;704,5;342,6;366,1
5330;5,6;114;4;6,6;64,8;791,8;391;401,8
5331;4,7;94,6;3,5;5,5;55,9;652,2;347,9;300,1
5332;4,9;117,3;3,8;6,9;61,9;598,5;270;330,5
5333;5;123,7;3,8;6,8;63,2;607,2;278,4;337,7
5334;4,4;110,8;3,4;6,8;59,1;472,6;234,6;226,3
5335;4;96,8;3,2;5,9;53,1;457,1;229,3;225,9
5336;3,5;89,9;2,8;5,3;49,5;433,5;183,8;243,3
5337;2,8;74,3;2,1;4;39,5;386,7;171,3;217,4
5338;2,7;77,1;2;3,7;44,9;409,6;188,5;222,3
5339;2,5;70,3;1,8;3,3;39,8;396;193,1;199,1
5340;2,3;72,4;1,7;3,1;37,4;449,9;226,7;231
5341;2;64;1,6;2,8;38;369,5;189;175,9
5342;1,6;51,1;1,3;2,5;28,3;299,9;153,8;143,6
5343;1,4;46,4;1,1;2,1;26,3;267,3;141,5;126
5344;1,2;41,5;1;1,8;24,5;242,2;117,5;117,6
5345;1,1;37,9;0,9;1,6;22,3;281,1;129,1;150,5
5346;1;37,8;0,8;1,5;21,5;298;140,5;156,8
5347;22;68,5;18;33,3;49,3;286;158;120,8
5348;24,3;77,2;20,3;37,3;54,8;323,6;173,1;143,2
5349;24,9;79,6;20,8;38,2;56,3;337,1;178,7;143,1
5350;22,7;75,2;18,8;35;52,3;289;148,2;142,3
5351;23,3;80,7;19,6;36,1;57,8;316,3;163,1;153
5352;23,7;86,4;20,1;37,3;62,6;337,9;173,6;163,9
5353;23,2;89,6;19,2;36,1;63,2;348,4;181,6;170,7
5354;24,5;95;20,6;39,1;68,2;389,1;208,3;184,4
5355;25,3;102,2;21,2;41,4;72,5;417,3;228;193,7
5356;25,7;111,4;21,9;39,9;78,7;461,5;244,7;216,7
5357;25,5;119,7;21,6;39,5;84,4;508,2;266,3;245,8
5358;26,4;129,1;22,4;40,6;90,5;568;295,9;272,4
5359;25,5;131;21,3;38;90,7;557,3;281,4;282,8
5360;25,6;147,7;21,3;38,3;98,7;635,5;313,2;328,7
5361;25,9;160,7;21,9;40,8;110,2;672,7;349,4;329,3
5362;25,7;171,5;21,6;40,2;119,3;706;371,4;340,1
5363;24,4;165,3;20,2;35,8;113,1;697,5;354,1;338,2
5364;22,4;168,4;18,3;32,6;113,9;716,6;365;348,5
5365;23,1;189,2;19;34,1;129,9;805,5;406,6;407,1
5366;24,8;218,9;20,1;36,3;148,6;943;486,4;464,6
5367;25,2;233;21;37,5;160,6;1028,8;533,2;503
5368;24,9;248,2;20,2;38,3;168,6;1094,1;546,7;556,4
5369;23,8;255,8;19,5;38,7;175,8;1107,7;550,4;568,6
5370;24;289,9;19,6;40,1;195,6;1280;641,9;665,2
5371;25,4;304,5;20,5;37,3;201,6;1343,6;660,8;680,8
5372;25,2;322,7;20,3;38,5;215,4;1479,6;719,3;759,7
5373;25,4;338,7;20,9;39,8;228,5;1582,7;810,2;787,3
5374;23;325,3;18,6;35,1;222,1;1540,5;785,2;747,1
5375;22,3;329,4;18;34,1;226,8;1543,8;789,5;756,3
5376;25,8;389,5;20,1;37,8;254,9;1808;934,3;885,2
5377;25,5;406,9;20,2;38,3;270,3;1796,2;937,2;864,8
5378;26,5;424,4;21,1;39,3;286,4;1881,9;935;955,5
5379;27,1;446,9;21,3;39,1;292;1997;1000,8;1013,9
5380;25,2;435;19,8;37,1;283,7;1905,9;954,9;958,6
5381;25,7;463,7;20,1;37,6;295;2148,3;1121,3;1037,6
5382;25,6;460,3;20;37,5;288,3;2256,2;1198,6;1066,1
5383;26,2;509,6;20,5;40,1;322,2;2505;1277,1;1238,7
5384;27,5;524,8;21,3;41,4;328,7;2630,3;1343,2;1288,9
5385;27,4;552;21,3;41,6;331,6;2727,6;1403,1;1329,3
5386;24;482,9;18,7;33,4;283,7;2314,2;1208,8;1110,8
5387;25,4;500,9;20;35,9;297,8;2460,9;1303,8;1166,6
5388;26;520,6;19,8;35,1;303,1;2354,1;1236,1;1143,9
5389;27,6;566,7;21,1;36,6;323,2;2450,3;1313,4;1157,7
5390;25,6;528,4;19,7;35;317,2;2339,8;1234,2;1128
5391;12,9;309,8;9,3;17,6;180,1;1515,6;843,8;652,4
5392;11,9;294,6;8,8;16,2;171,7;1411,4;770,8;625,3
5393;10,2;246,9;7,5;13,9;139,7;1210,9;669,3;526,2
5394;9,2;234,3;6,6;12,3;121;1230,2;676,4;575,2
5395;7,6;191,1;5,9;10,6;113,4;909,5;491,3;413,7
5396;5,9;141;4,2;7,4;78,9;667,7;351,5;319,4
5397;5;128,2;3,9;7,6;72,5;595,2;323,4;280,4
5398;4,4;114,6;3,5;6,4;67,5;539,2;268,7;261,7
5399;4;104,4;3,1;5,8;61,6;626;295,2;334,7
5400;3,7;104,3;2,8;5,5;59,3;663,5;321,2;348,8
5401;37,3;166,3;32,7;63,8;133,8;745;465,8;276,8
5402;37,3;174,4;32,6;63;137,7;888,8;559,8;338,5
5403;34,7;164,7;30,2;58;129,5;792,7;509,4;279,5
5404;33,4;158,7;28,9;55,4;124,6;763;487,6;268,5
5405;31,9;158,1;27,5;53,6;123,7;768;492;264,7
5406;31,6;164,2;27,5;55;130,5;760,6;481,5;274,3
5407;31,4;170;27,3;55;132,2;786;482,4;301,5
5408;32,2;181;28,1;57,3;139,7;859,2;536,8;328,4
5409;32,9;190,2;28,4;57,9;145,1;943;615,3;327,7
5410;31;187,7;26,6;53,2;143,4;873,2;548,4;321,2
5411;31,4;197,4;26,9;53,4;152,2;881,2;525,9;351,4
5412;29,1;189,6;24,6;47,9;143,8;857,4;516,4;333,2
5413;24,4;173;20,6;40,8;130,8;798;472,9;322,3
5414;24,8;185,4;20,9;41,3;138,6;842,1;500,1;337,2
5415;26;201,9;22,4;42,4;152,5;1064,4;710,1;371,2
5416;23,7;188,6;20,1;38,3;139,6;1086,7;746,6;338,9
5417;22;196,4;18,5;35,8;142,7;1081,3;683;401,1
5418;22,8;222,3;19,4;38,4;166,9;1098,7;646,5;447,1
5419;23,3;246,3;19,6;38,5;182,9;1333,2;819,8;525
5420;23,3;257,7;19,9;38,7;194;1465;931,5;540,1
5421;23,4;274;20;36,9;206,6;1589,4;1046,1;569,4
5422;21,5;267,9;18,1;33,7;198,6;1812,7;1256,8;564,2
5423;21;284,8;17,7;33,3;209,7;1833,7;1205,8;615,6
5424;20,7;307,9;17,6;34,3;233,5;1940,7;1278,6;653,9
5425;19,8;313,1;16,4;31,5;226,6;1765,3;1171,7;585,4
5426;19,8;335,9;16,4;32,2;244,9;1893,6;1277,1;655,4
5427;17;295,3;14,2;27,1;214,2;1824,6;1225,2;579,9
5428;14,4;266,2;11,9;23,9;191,5;1653,1;1132,4;514,2
5429;13,5;252,9;11,1;22,4;183,9;1599,6;1119,3;480,9
5430;14,9;296,6;12,3;25;214,7;2233,1;1502,6;755,8
5431;15,4;319,6;12,7;25,9;229,5;2503,2;1668,4;848,4
5432;12,6;286,6;10,8;21,8;209,9;2516,7;1722,1;884,6
5433;12,4;287,5;10,5;21,6;206,2;2427,4;1645,5;789,5
5434;11,8;283,5;10;19,5;205,9;2199,6;1492,9;719,5
5435;16,9;426;13,5;28,3;296,5;2928,1;2043,5;906
5436;17,2;434,8;14;29,3;311,2;3216,9;2246,2;1027,6
5437;16,2;421,9;13,6;28,9;306,1;3061,6;2102,4;983
5438;15,6;399,6;12,7;27,5;289,3;3139,7;2061,3;1026,9
5439;15,1;400,6;12,6;27,2;297;3157,3;1875,3;1325,8
5440;14,9;408,8;12,3;24,9;303,2;3576,7;2192,8;1372,9
5441;15,4;430,1;12,9;26,4;316,2;3310,1;2029,4;1287,4
5442;15,1;453,6;12,3;26;331,5;3155,8;1993,9;1140,5
5443;15,2;441,5;12,3;24,2;319,7;3161,4;1958,5;1215,6
5444;13;375,6;10,5;20,6;264,8;2851,4;1790,8;990,7
5445;9,5;301,7;7,7;15,8;216,6;2621,9;1733,5;862,8
5446;7,9;258;6,2;12,1;179,5;1855;1174,1;678,7
5447;6,9;234,4;5,4;10,4;157,3;1794,9;1151,7;633,2
5448;6,1;229,7;4,7;9,3;154;1773,9;1260,9;502,1
5449;4,8;179,8;3,6;7,1;119,4;1340;970;345
5450;4,6;167,3;3,5;6,8;111,5;1530,8;1139,4;407,7
5451;4,4;165,5;3,3;6,8;106,3;1385;971,7;404
5452;3,2;118,7;2,5;5,2;78,4;807,4;498;314,8
5453;3,4;126;2,6;5,4;84,4;1519,2;1126,6;404,1
5454;3,4;132;2,6;5,3;85;1749,2;1389,4;395,3
5455;21,2;89,1;18,2;35,4;71;242,2;88,2;156
5456;22,9;99,7;20;38,8;80,1;265,8;106;169,2
5457;22,9;100,7;19,8;38,1;79,6;281,3;108,6;170,1
5458;24,7;112;21,8;42,3;90,2;304,2;117,5;190,9
5459;28,2;131,6;25;48,3;107,7;349,7;140,1;224,2
5460;30,2;136,1;26,9;50,1;109,8;375,9;151,5;228,4
5461;30,8;145,5;27,5;52,1;119;415,7;165,9;244,5
5462;31,4;147,3;27,5;51,5;118,6;426,2;173,7;261,1
5463;30,2;148,4;26,4;50,2;118,9;442,1;183,1;259
5464;30,8;150,9;27,1;49,3;119,6;464,1;197,1;265,2
5465;31,8;165,3;28,1;52,8;131,9;494,1;219,2;281,3
5466;31,2;166;27,4;51,3;130,1;519,2;230,5;308,7
5467;31,4;177,5;27,6;52,5;135,2;563,3;254,6;313,5
5468;31,1;176,6;26,1;50;135;573;251,7;327,6
5469;31,6;182,6;26,5;49,9;137,5;600;243,3;370,3
5470;31,8;194,6;27,8;51,9;152,4;555,9;222,7;338,2
5471;28,8;193,9;25;46,7;147,6;590;259,5;394,9
5472;25,3;176,3;21,8;38,2;128,6;565,9;239,4;320,1
5473;24,6;175,8;21,3;36,5;128,7;538,8;233,9;309,5
5474;19,8;159,1;16,4;30;115,9;517;256,2;272,3
5475;20,2;164;17,8;33,1;128,6;530;250,7;283,9
5476;17,5;153,9;15,2;28,6;120;536,2;236,2;304,4
5477;18;174,3;15,6;29,2;132,8;590,8;289,4;307,7
5478;18,6;191,1;16;31,2;147,5;707,3;354;360,1
5479;17,6;196,5;15;27,8;149,1;706,2;333,8;360,1
5480;17,3;200;14,9;27,1;148,7;728;339,2;425,9
5481;15;181,8;12,4;22,5;128,3;681,3;330,8;340,9
5482;12;161,1;9,7;18,3;115,2;647,2;322,6;318
5483;9,2;136,8;7,5;13,9;89,1;573,3;283,8;286,5
5484;10,9;153,3;9,1;16,6;103,5;557,2;252,4;315,8
5485;11,7;160,2;9,9;18,7;115,6;582,7;278,7;315,8
5486;10,9;151,7;9,2;18,9;110,2;604,6;305;288,6
5487;10,5;158,9;8,8;18,1;111,8;650;323,2;338,7
5488;11,7;181,9;9,7;21,1;132,3;756,9;373,3;384
5489;13,6;215,5;11,2;22,3;150,4;867,5;410,8;463,7
5490;12;201,4;10;20,7;140,8;796,4;377,2;409,5
5491;11,4;198;9,2;18,3;132,5;961,2;498;476,3
5492;9,8;182,7;8,1;17,7;127,5;916,3;493,7;439,7
5493;8,2;164,8;6,7;15,1;112;935,6;496,1;441,9
5494;8,3;168,2;6,9;14,5;119,1;1009,8;498,7;520
5495;8,2;192,2;6,7;13,4;125;1130,2;543;584,4
5496;7;156,7;5,6;11,1;102;1023,2;513,7;565,9
5497;6,4;153,6;5;10,1;94,5;976,5;497,3;497,7
5498;5,6;136,7;4,7;8,8;96,7;724,7;326;410,2
5499;3,1;78,4;2,6;4,6;59,1;425,9;182,8;233,4
5500;2,9;85,7;2,3;4,5;52;460,7;185,1;277,4
5501;2,8;84,1;2,3;4,3;52,4;442,9;195,7;242,2
5502;2,6;83,3;2,1;4,1;54,4;474,6;209,8;273,1
5503;2,4;80,1;1,9;3,7;51,2;494,1;223,5;282,2
5504;2,3;75,7;1,9;3,4;54,1;483,9;223,5;251,4
5505;2,2;76,9;1,7;3,2;52;511,1;233,8;299,3
5506;2;68,7;1,5;2,6;44,8;450,7;202,2;241,7
5507;2;74;1,6;2,9;49,6;470,4;206,8;263,9
5508;1,9;72,1;1,5;2,8;47,2;500,1;237,4;271,3
5509;11,5;37,1;10,2;18;28,3;112,1;52,6;59,7
5510;12,5;41;11;19,2;30,8;128,4;62,8;65,7
5511;11,3;38,6;10;17,4;28,9;119,4;59,1;60,1
5512;12,3;40,1;10,8;18,1;29,4;131,8;64,4;67,9
5513;12;42,4;10,6;18,4;31,5;133,7;66,2;67,7
5514;11;39,8;9,9;17,3;30,4;123,6;58,9;64,6
5515;12,1;45,1;10,8;19,2;34,6;137,7;65,2;72,5
5516;12,6;49;11,3;20,2;36,5;148,6;71,2;78,6
5517;13,7;53,1;11,7;21,9;39,4;162;76,9;86,8
5518;12,5;53,2;11;20,5;40;181;86,8;94,2
5519;11,6;54,6;10,2;19,5;42,3;173,6;79,4;91,6
5520;11,2;53,5;9,9;18,1;41,2;174;77,9;96,4
5521;11,3;54,1;9,8;17,5;39,1;175,3;76;101,5
5522;10,9;53,3;9,3;16,2;37,6;176,4;74,1;101,2
5523;8,5;48,1;7,1;12,7;33,4;151,4;66,5;85,7
5524;8,6;46,3;7,1;12,5;32,4;157,1;68,7;88,9
5525;8,5;50,7;7,2;13,1;36,1;174,9;75,1;102
5526;8;47,8;6,8;11,7;34,8;165,6;68,8;96,2
5527;8,3;49,5;7;11,7;36,2;175,4;78,1;98
5528;8,1;54,5;7;11,7;39,6;201,2;92,7;108,8
5529;8,1;58,9;6,9;11,6;42,8;232;101,5;136
5530;8,8;66,2;7,5;12,6;48,1;261;109,9;150,4
5531;9,2;74;7,7;13,4;55,3;323,1;135;190,9
5532;8,8;75,9;7,5;12,7;57,5;268,2;124,2;149,4
5533;7,5;71,3;6,4;11,2;51,7;275,8;128,8;149,7
5534;6,4;64,2;5,4;9,8;45,8;241,9;108,6;128,9
5535;6,5;66,8;5,4;9,3;49,4;248,4;118,5;133,6
5536;5,7;62,5;4,9;8,7;46;223,2;110,6;112,3
5537;4,7;57,3;3,9;6,6;36,2;208,7;104,3;103,4
5538;3,7;50,3;3;5,6;30,1;232,5;99,6;132,9
5539;3,8;52,6;3;6,3;34,5;244,3;114,3;133,1
5540;4,7;63,3;3,9;6,9;44,1;286,8;139;160,9
5541;4,3;58,9;3,4;6,5;39,6;276;113,1;160,7
5542;4;61,3;3,2;6,1;41,4;277,3;116,6;158
5543;3,8;59,2;3;5,5;35,6;285,1;109,6;176,3
5544;3,7;61,8;2,9;5,2;35,8;301,8;117,3;189,2
5545;3,2;48,2;2,4;4,6;30,9;203,5;79,3;126,9
